Source Name	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[INFECT]	Factor Value[GENOTYPE]
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 1	P-MTAB-20300	Labeled Extract 1	biotin	Hybridization 1	A-AFFY-2	A1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	wild_type
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 2	P-MTAB-20300	Labeled Extract 2	biotin	Hybridization 2	A-AFFY-2	B1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	wild_type
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 3	P-MTAB-20300	Labeled Extract 3	biotin	Hybridization 3	A-AFFY-2	C1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	wild_type
agb1-1	leaves	Arabidopsis thaliana	3	weeks	leaves	agb1-1	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 4	P-MTAB-20300	Labeled Extract 4	biotin	Hybridization 4	A-AFFY-2	D1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	agb1-1
agb1-1	leaves	Arabidopsis thaliana	3	weeks	leaves	agb1-1	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 5	P-MTAB-20300	Labeled Extract 5	biotin	Hybridization 5	A-AFFY-2	E1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	agb1-1
agb1-1	leaves	Arabidopsis thaliana	3	weeks	leaves	agb1-1	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 6	P-MTAB-20300	Labeled Extract 6	biotin	Hybridization 6	A-AFFY-2	F1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	agb1-1
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 1	P-MTAB-20300	Labeled Extract 7	biotin	Hybridization 7	A-AFFY-2	A3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	wild_type
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 2	P-MTAB-20300	Labeled Extract 8	biotin	Hybridization 8	A-AFFY-2	B3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	mock inoculation	wild_type
Col-0	leaves	Arabidopsis thaliana	3	weeks	leaves	wild_type	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 3	P-MTAB-20300	Labeled Extract 9	biotin	Hybridization 9	A-AFFY-2	C3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	Plectosphaerella cucumerina inoculation	wild_type
agb1-1	leaves	Arabidopsis thaliana	3	weeks	leaves	agb1-1	P-MTAB-20297	P-MTAB-20298	P-MTAB-20299	RNA Extract 4	P-MTAB-20300	Labeled Extract 10	biotin	Hybridization 10	A-AFFY-2	D3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-641/E-MTAB-641.raw.1.zip	control	agb1-1
